area,pmcid,doi,year,journal,title,U,E,EP,S,adjudicated,adjudicated_items,dual_coded,also_coded_in_areas
A4,PMC11723248,10.3390/polym17010121,2025,Polymers,Artificial Intelligence-Driven Modeling for Hydrogel Three-Dimensional Printing: Computational and Experimental Cases of Study.,0,1,1,0,no,,yes,
A4,PMC11761273,10.3390/biomedicines13010208,2025,Biomedicines,Advancing Hydrogel-Based 3D Cell Culture Systems: Histological Image Analysis and AI-Driven Filament Characterization.,0,0,0,0,no,,yes,A1
A4,PMC11765179,10.3390/gels11010045,2025,"Gels (Basel, Switzerland)",Characterization and Machine Learning-Driven Property Prediction of a Novel Hybrid Hydrogel Bioink Considering Extrusion-Based 3D Bioprinting.,0,0,0,0,no,,no,A2
A4,PMC11855032,10.3390/gels11020141,2025,"Gels (Basel, Switzerland)",The Optimization of Culture Conditions for Injectable Recombinant Collagen Hydrogel Preparation Using Machine Learning.,0,0,0,0,no,,yes,
A4,PMC11921027,10.1021/acsabm.4c01509,2025,ACS applied bio materials,Collagen Hybridizing Peptides Promote Collagen Fibril Growth In Vitro.,0,0,0,1,yes,E,yes,A1
A4,PMC11939716,10.3390/bioengineering12030315,2025,"Bioengineering (Basel, Switzerland)",Investigation of the Effects of 3D Printing Parameters on the Mechanical Properties of Bone Scaffolds: Experimental Study Integrated with Artificial Neural Networks.,0,0,0,0,no,,yes,
A4,PMC12000562,10.1038/s41598-025-94608-8,2025,Scientific reports,Surrogate modeling of electrospun PVA/PLA nanofibers using artificial neural network for biomedical applications.,0,0,0,0,no,,yes,
A4,PMC12128979,10.1172/jci.insight.179246,2025,JCI insight,iPSC-RPE patch restores photoreceptors and regenerates choriocapillaris in a pig retinal degeneration model.,0,0,0,1,no,,no,
A4,PMC12294283,10.3390/gels11070550,2025,"Gels (Basel, Switzerland)",Interpretable Prediction and Analysis of PVA Hydrogel Mechanical Behavior Using Machine Learning.,0,0,0,0,no,,no,A2
A4,PMC12295332,10.3390/jfb16070237,2025,Journal of functional biomaterials,"Morphometric, Biomechanical and Macromolecular Performances of β-TCP Macro/Micro-Porous Lattice Scaffolds Fabricated via Lithography-Based Ceramic Manufacturing for Jawbone Engineering.",0,0,0,0,no,,no,
A4,PMC12295643,10.3390/gels11070552,2025,"Gels (Basel, Switzerland)",Optimization of SA-Gel Hydrogel Printing Parameters for Extrusion-Based 3D Bioprinting.,0,0,1,0,no,,no,
A4,PMC12316057,10.1002/jbm.a.37515,2023,Journal of biomedical materials research. Part A,Label-free cleared tissue microscopy and machine learning for 3D histopathology of biomaterial implants.,1,0,0,0,no,,no,A1
A4,PMC12368192,10.1038/s41598-025-15122-5,2025,Scientific reports,Computational optimization of 3D printed bone scaffolds using orthogonal array-driven FEA and neural network modeling.,0,0,0,0,no,,no,
A4,PMC12566269,10.3390/mi16101098,2025,Micromachines,Coupling CFD and Machine Learning to Assess Flow Properties in Porous Scaffolds for Tissue Engineering.,1,0,0,0,no,,no,
A4,PMC12607992,10.3390/ma18214893,2025,"Materials (Basel, Switzerland)","NMR, FT-IR, XRD, SEM, and ANN Complex Characterization of Some Nonwoven Materials Produced by Electrospinning.",0,0,0,0,no,,yes,
A4,PMC12656060,10.3390/polym17222973,2025,Polymers,Additive Manufacturing of Bead-Chain-Shaped Scaffolds with AI-Based Process Optimization.,0,0,1,0,no,,yes,A2
A4,PMC12945539,10.1364/boe.550401,2025,Biomedical optics express,Automated cell properties toolbox from 3D bioprinted hydrogel scaffolds via deep learning and optical coherence tomography.,1,0,0,1,no,,no,A1
A4,PMC12948305,10.1631/bdm.2400454,2025,Bio-design and manufacturing,Machine learning-assisted stiffness prediction in high-cell-density bioprinting.,1,0,0,1,no,,no,
A4,PMC7076403,10.3390/pharmaceutics12020166,2020,Pharmaceutics,A 3D Bioprinted Pseudo-Bone Drug Delivery Scaffold for Bone Tissue Engineering.,0,0,1,0,yes,EP,yes,A2
A4,PMC8192956,10.1038/s41598-021-91802-2,2021,Scientific reports,Fourier transform infrared spectroscopy coupled with machine learning classification for identification of oxidative damage in freeze-dried heart valves.,0,0,0,0,no,,no,
A4,PMC8378215,10.3389/fbioe.2021.701778,2021,Frontiers in bioengineering and biotechnology,Towards the Experimentally-Informed In Silico Nozzle Design Optimization for Extrusion-Based Bioprinting of Shear-Thinning Hydrogels.,2,0,0,0,no,,yes,
A4,PMC8575943,10.1038/s41598-021-01304-4,2021,Scientific reports,A deep learning approach to identify and segment alpha-smooth muscle actin stress fiber positive cells.,0,0,0,1,yes,EP,yes,A1
A4,PMC8616054,10.3390/cancers13225857,2021,Cancers,Human Breast Extracellular Matrix Microstructures and Protein Hydrogel 3D Cultures of Mammary Epithelial Cells.,0,0,0,0,no,,no,
A4,PMC8778756,10.3390/mi13010079,2022,Micromachines,Optimization of Complete Rat Heart Decellularization Using Artificial Neural Networks.,0,0,0,0,no,,no,
A4,PMC9104973,10.3390/polym14091802,2022,Polymers,Accelerated Discovery of the Polymer Blends for Cartilage Repair through Data-Mining Tools and Machine-Learning Algorithm.,0,0,0,0,no,,yes,A2
A4,PMC9551996,10.3389/fbioe.2022.973275,2022,Frontiers in bioengineering and biotechnology,Designing anisotropic porous bone scaffolds using a self-learning convolutional neural network model.,0,0,0,0,no,,yes,A2
A4,PMC9667272,10.1016/j.heliyon.2022.e11468,2022,Heliyon,In-process monitoring of a tissue-engineered oral mucosa fabricated on a micropatterned collagen scaffold: use of optical coherence tomography for quality control.,0,0,0,0,no,,no,
A4,PMC9938698,10.1007/s42600-022-00257-5,2023,Research on Biomedical Engineering,Identification and ranking biomaterials for bone scaffolds using machine learning and PROMETHEE,1,0,0,0,no,,yes,
A5,PMC11095369,10.1039/d3sc06920f,2024,Chemical science,Polymer design via SHAP and Bayesian machine learning optimizes pDNA and CRISPR ribonucleoprotein delivery.,2,0,1,0,no,,yes,
A5,PMC11422183,10.1093/rb/rbae109,2024,Regenerative biomaterials,Integrating machine learning for the optimization of polyacrylamide/alginate hydrogel.,2,0,1,0,no,,no,
A5,PMC11672474,10.1021/acsami.4c16614,2024,ACS applied materials & interfaces,Scalable Accelerated Materials Discovery of Sustainable Polysaccharide-Based Hydrogels by Autonomous Experimentation and Collaborative Learning.,2,0,1,0,no,,no,
A5,PMC12154192,10.1126/sciadv.adt9466,2025,Science advances,Discovery of unconventional and nonintuitive self-assembling peptide materials using experiment-driven machine learning.,0,0,1,0,no,,no,
A5,PMC12157168,10.1371/journal.pone.0324205,2025,PloS one,Bayesian optimization and machine learning for vaccine formulation development.,2,0,1,0,no,,yes,
A5,PMC12356264,10.1126/sciadv.adx2299,2025,Science advances,Accelerated design of gold nanoparticles with enhanced plasmonic performance.,2,0,0,0,no,,yes,
A5,PMC12587402,10.1021/acs.molpharmaceut.5c00591,2025,Molecular pharmaceutics,Bayesian Optimization for Efficient Multiobjective Formulation Development of Biologics.,0,0,1,0,no,,yes,
A5,PMC12590431,10.1016/j.ijpx.2025.100420,2025,International journal of pharmaceutics: X,Targeted probiotic tabletting: A hybrid active learning and finite element modelling approach for process optimisation.,2,1,1,1,no,,no,
A5,PMC13576497,10.1039/d5dd00171d,2025,Digital discovery,Efficient discovery of new medicine formulations using a semi-self-driven robotic formulator.,2,0,1,0,no,,yes,
