area,pmcid,doi,year,journal,title,U,E,EP,S,adjudicated,adjudicated_items,dual_coded,also_coded_in_areas
A1,PMC7615154,10.1002/smtd.202201695,2023,Small methods,Understanding Intracellular Biology to Improve mRNA Delivery by Lipid Nanoparticles.,0,0,1,0,no,,yes,
A1,PMC7970409,10.1117/1.jbo.26.3.036004,2021,Journal of biomedical optics,Focused x-ray luminescence imaging system for small animals based on a rotary gantry.,0,0,0,0,no,,no,
A1,PMC8471570,10.3390/ma14185278,2021,"Materials (Basel, Switzerland)",Artificial Intelligence Aided Design of Tissue Engineering Scaffolds Employing Virtual Tomography and 3D Convolutional Neural Networks.,0,0,0,0,no,,no,
A1,PMC8575943,10.1038/s41598-021-01304-4,2021,Scientific reports,A deep learning approach to identify and segment alpha-smooth muscle actin stress fiber positive cells.,0,0,0,1,yes,EP,yes,A4
A1,PMC8665348,10.1016/j.bioactmat.2021.09.018,2022,Bioactive materials,A deep-learning-based workflow to deal with the defocusing problem in high-throughput experiments.,1,0,1,1,no,,yes,
A1,PMC8830423,10.3389/fbioe.2021.802794,2021,Frontiers in bioengineering and biotechnology,Morphology-Based Deep Learning Approach for Predicting Osteogenic Differentiation.,1,0,1,1,no,,yes,
A1,PMC8866374,10.1007/s00018-022-04196-3,2022,Cellular and molecular life sciences : CMLS,Monitoring the maturation of the sarcomere network: a super-resolution microscopy-based approach.,0,0,0,0,no,,no,
A1,PMC9483370,10.1007/s11095-022-03378-9,2022,Pharmaceutical research,Novel 3D Printed Modular Tablets Containing Multiple Anti-Viral Drugs: a Case of High Precision Drop-on-Demand Drug Deposition.,0,0,0,0,no,,yes,
A1,PMC9785476,10.3390/ijms232416070,2022,International journal of molecular sciences,Deep Learning-Based Artificial Intelligence to Investigate Targeted Nanoparticles' Uptake in TNBC Cells.,1,0,0,0,no,,yes,
A2,PMC10070414,10.1038/s41598-023-31677-7,2023,Scientific reports,Machine learning unifies flexibility and efficiency of spinodal structure generation for stochastic biomaterial design.,0,0,0,1,no,,no,A4
A2,PMC10573332,10.3390/ma16196355,2023,"Materials (Basel, Switzerland)",Predicting Low-Modulus Biocompatible Titanium Alloys Using Machine Learning.,0,0,0,0,no,,no,
A2,PMC10590434,10.1038/s41598-023-43689-4,2023,Scientific reports,Application of ensemble machine learning approach to assess the factors affecting size and polydispersity index of liposomal nanoparticles.,0,0,0,0,no,,no,
A2,PMC10784499,10.1038/s41598-023-50876-w,2024,Scientific reports,Machine learning assisted exploration of the influential parameters on the PLGA nanoparticles.,1,0,0,0,no,,yes,
A2,PMC11106676,10.3762/bjnano.15.47,2024,Beilstein journal of nanotechnology,On the additive artificial intelligence-based discovery of nanoparticle neurodegenerative disease drug delivery systems.,1,0,0,0,no,,yes,
A2,PMC11163007,10.1038/s41598-024-63285-4,2024,Scientific reports,Imbalanced spectral data analysis using data augmentation based on the generative adversarial network.,1,0,0,0,no,,no,
A2,PMC11165469,10.1002/advs.202310141,2024,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Mechanical Field Guiding Structure Design Strategy for Meta-Fiber Reinforced Hydrogel Composites by Deep Learning.,0,0,0,0,no,,yes,
A2,PMC11179666,10.2147/ijn.s452316,2024,International journal of nanomedicine,Nose-to-Brain Drug Delivery and Physico-Chemical Properties of Nanosystems: Analysis and Correlation Studies of Data from Scientific Literature.,1,0,0,1,no,,no,
A2,PMC11283115,10.1016/j.heliyon.2024.e33967,2024,Heliyon,A comparative study of machine learning and response surface methodologies for optimizing wear parameters of ECAP-processed ZX30 alloy.,0,0,1,0,no,,no,
A2,PMC11504968,10.3390/biomimetics9100587,2024,"Biomimetics (Basel, Switzerland)",Leveraging Machine Learning for Optimized Mechanical Properties and 3D Printing of PLA/cHAP for Bone Implant.,0,0,0,0,no,,no,
A2,PMC11561990,10.1177/15330338241296725,2024,Technology in cancer research & treatment,Predicting Calcein Release from Ultrasound-Targeted Liposomes: A Comparative Analysis of Random Forest and Support Vector Machine.,0,0,0,0,no,,yes,
A2,PMC11615115,10.1007/s13346-024-01603-z,2025,Drug delivery and translational research,Engineering mannose-functionalized nanostructured lipid carriers by sequential design using hybrid artificial intelligence tools.,0,0,1,0,no,,yes,
A2,PMC11629694,10.1093/bioinformatics/btae342,2024,"Bioinformatics (Oxford, England)",Representations of lipid nanoparticles using large language models for transfection efficiency prediction.,1,0,0,1,no,,no,
